"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"TMIGD3","OK","negbinomial.size",2.75054378384048e-127,2.28954118506971e-125,"TMIGD3",TRUE,-286.994785182628,1
"B2M","OK","negbinomial.size",6.91940620409762e-126,5.70030669865403e-124,"B2M",TRUE,-283.780031551087,1
"CD37","OK","negbinomial.size",1.6375085330625e-124,1.33523782527576e-122,"CD37",TRUE,280.626271923014,-1
"IFITM2","OK","negbinomial.size",5.00976165175863e-121,4.04373791507103e-119,"IFITM2",FALSE,272.610456575574,-1
"ABCA1","OK","negbinomial.size",8.80548931576888e-118,7.03646651223091e-116,"ABCA1",TRUE,-265.148764659018,1
"H3F3A","OK","negbinomial.size",1.03986659598754e-115,8.22730095894694e-114,"H3F3A",FALSE,260.387242591945,-1
"EMP3","OK","negbinomial.size",1.64685098217214e-112,1.29019472534682e-110,"EMP3",FALSE,253.029567072482,-1
"RPL10","OK","negbinomial.size",5.17772310686153e-111,4.01700828610976e-109,"RPL10",FALSE,249.591237718215,-1
"VOPP1","OK","negbinomial.size",6.77234189864044e-110,5.20363308769575e-108,"VOPP1",TRUE,-247.029832991016,1
"RPS24","OK","negbinomial.size",8.93697878474176e-110,6.8014664256068e-108,"RPS24",FALSE,246.7620518036,-1
"CRIP1","OK","negbinomial.size",9.15457908057461e-110,6.90134353140299e-108,"CRIP1",TRUE,246.747473936012,-1
"THBS1","OK","negbinomial.size",7.76149233518043e-109,5.79645656546045e-107,"THBS1",TRUE,244.619358156498,-1
"FGR","OK","negbinomial.size",3.53037633641227e-108,2.61215160224726e-106,"FGR",FALSE,243.113845606962,-1
"SMPDL3A","OK","negbinomial.size",5.81732219344107e-107,4.26479097686125e-105,"SMPDL3A",TRUE,-240.321041593574,1
"FAM65B","OK","negbinomial.size",6.47291840448753e-105,4.70228099729635e-103,"FAM65B",TRUE,235.618216868826,-1
"RPL6","OK","negbinomial.size",2.63674950221667e-104,1.89822209659581e-102,"RPL6",FALSE,234.222761775931,-1
"FCER1G","OK","negbinomial.size",2.87922218736466e-103,2.05427361600277e-101,"FCER1G",TRUE,-231.841172078468,1
"VSIG4","OK","negbinomial.size",1.83466115874244e-102,1.2974139220806e-100,"VSIG4",TRUE,-229.998136306911,1
"RPL26","OK","negbinomial.size",6.83396729135856e-102,4.79037128291634e-100,"RPL26",FALSE,228.691901378895,-1
"RPL32","OK","negbinomial.size",7.27994314889263e-101,5.05861093067835e-99,"RPL32",FALSE,226.334832280427,-1
"ANXA2","OK","negbinomial.size",6.32829859294362e-100,4.35943397036314e-98,"ANXA2",TRUE,224.180996887795,-1
"RGL1","OK","negbinomial.size",1.33765209207576e-99,9.13604945963882e-98,"RGL1",TRUE,-223.441111046809,1
"CTSD","OK","negbinomial.size",1.50047576017043e-99,1.01612727114592e-97,"CTSD",TRUE,-223.334755412235,1
"CD68","OK","negbinomial.size",7.33490386098459e-99,4.92548039942251e-97,"CD68",TRUE,-221.756332207525,1
"YBX1","OK","negbinomial.size",1.58031331348109e-98,1.05235697400228e-96,"YBX1",TRUE,-220.997136541772,1
"RPL35A","OK","negbinomial.size",1.02623918100798e-97,6.77741925242544e-96,"RPL35A",FALSE,219.134572539174,-1
"ANKH","OK","negbinomial.size",1.08073361348e-97,7.07880516829398e-96,"ANKH",TRUE,-219.091063795505,1
"C2","OK","negbinomial.size",1.16652668897104e-97,7.57862989558343e-96,"C2",TRUE,-219.022836496673,1
"RPL11","OK","negbinomial.size",5.39692534366385e-97,3.4779701952595e-95,"RPL11",FALSE,217.499134988045,-1
"HLA-DRB1","OK","negbinomial.size",6.46464366742047e-97,4.13271740370855e-95,"HLA-DRB1",TRUE,-217.326648676827,1
"CCL4","OK","negbinomial.size",2.1488312662247e-96,1.36280243241282e-94,"CCL4",TRUE,-216.133455549773,1
"LY96","OK","negbinomial.size",6.95767097694902e-95,4.37785423439367e-93,"LY96",TRUE,-212.663854944922,1
"VAMP8","OK","negbinomial.size",1.00688024663078e-93,6.28592191470825e-92,"VAMP8",FALSE,-209.999516039249,1
"LSP1","OK","negbinomial.size",1.62960439997538e-93,1.00947044652738e-91,"LSP1",TRUE,209.525817579473,-1
"HLA-DPA1","OK","negbinomial.size",7.5069921135731e-93,4.6144903061202e-91,"HLA-DPA1",TRUE,-208.00604204348,1
"SLC11A1","OK","negbinomial.size",9.5695851603114e-92,5.83744694778995e-90,"SLC11A1",TRUE,205.468364834683,-1
"TPP1","OK","negbinomial.size",3.04874940413224e-91,1.84564821881975e-89,"TPP1",FALSE,-204.317242722569,1
"MT2A","OK","negbinomial.size",3.53205677764556e-91,2.12215531655381e-89,"MT2A",TRUE,-204.177641045482,1
"RPL29","OK","negbinomial.size",6.15405667161982e-91,3.66993036290403e-89,"RPL29",FALSE,203.629900589269,-1
"RPL37","OK","negbinomial.size",6.74774356659105e-91,3.99416435856512e-89,"RPL37",FALSE,203.545238890955,-1
"CD84","OK","negbinomial.size",7.61799227655673e-91,4.476130608968e-89,"CD84",TRUE,-203.431314306605,1
"HMGB2","OK","negbinomial.size",1.84935174792997e-90,1.07869852684003e-88,"HMGB2",TRUE,202.551732936759,-1
"RPS14","OK","negbinomial.size",4.04182953717032e-90,2.34045361098029e-88,"RPS14",FALSE,201.777143422047,-1
"CST3","OK","negbinomial.size",3.63812832863204e-89,2.09153118518695e-87,"CST3",TRUE,-199.587006668252,1
"ETV5","OK","negbinomial.size",3.87369320683163e-89,2.21104874398511e-87,"ETV5",TRUE,-199.531436142723,1
